Data de Fim da Vig̻ncia,qtd
2002-07,1
2015-09,1
2016-09,1
2017-09,1
2018-09,1
2019-07,1
2019-09,1
2020-04,1
2020-07,1
2020-09,2
2020-10,1
2021-04,1
2021-05,1
2021-06,1
2021-07,1
2021-09,2
2022-04,1
2022-05,3
2022-06,3
2022-07,3
2022-09,2
2022-10,2
2022-12,1
2023-01,2
2023-03,3
2023-04,1
2023-05,3
2023-06,3
2023-07,1
2023-08,2
2023-09,3
2023-10,3
2023-11,3
2023-12,3
2024-01,2
2024-02,5
2024-03,11
2024-04,51
2024-05,321
2024-06,627
2024-07,794
2024-08,838
2024-09,828
2024-10,1085
2024-11,1020
2024-12,1013
2025-01,1529
2025-02,1670
2025-03,2900
2025-04,2908
2025-05,3476
2025-06,9336
2025-07,10885
2025-08,12955
2025-09,9074
2025-10,12364
2025-11,8754
2025-12,7237
2026-01,11650
2026-02,10771
2026-03,13500
2026-04,10444
2026-05,11631
2026-06,10123
2026-07,10660
2026-08,5006
2026-09,1369
2027-04,2
2027-07,3
2027-11,4
2028-05,1
